,时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
0,2023-05-22 09:35:00,10.28,10.3,10.34,10.25,0.29,0.03,6881,7088962.0,0.88,0.08
1,2023-05-22 09:40:00,10.3,10.31,10.33,10.3,0.1,0.01,5545,5718617.0,0.29,0.07
2,2023-05-22 09:45:00,10.31,10.26,10.33,10.25,-0.48,-0.05,6890,7094592.0,0.78,0.08
3,2023-05-22 09:50:00,10.26,10.23,10.26,10.21,-0.29,-0.03,6116,6257742.0,0.49,0.08
4,2023-05-22 09:55:00,10.23,10.23,10.26,10.22,0.0,0.0,2860,2927279.0,0.39,0.04
5,2023-05-22 10:00:00,10.22,10.23,10.24,10.22,0.0,0.0,3150,3221250.0,0.2,0.04
6,2023-05-22 10:05:00,10.22,10.22,10.23,10.21,-0.1,-0.01,4746,4849763.0,0.2,0.06
7,2023-05-22 10:10:00,10.22,10.23,10.24,10.21,0.1,0.01,1086,1110676.0,0.29,0.01
8,2023-05-22 10:15:00,10.23,10.23,10.24,10.22,0.0,0.0,1607,1643769.0,0.2,0.02
9,2023-05-22 10:20:00,10.23,10.26,10.28,10.22,0.29,0.03,2727,2791597.0,0.59,0.03
10,2023-05-22 10:25:00,10.26,10.25,10.27,10.25,-0.1,-0.01,1374,1410501.0,0.19,0.02
11,2023-05-22 10:30:00,10.27,10.24,10.27,10.23,-0.1,-0.01,2556,2618362.0,0.39,0.03
12,2023-05-22 10:35:00,10.25,10.26,10.27,10.24,0.2,0.02,1034,1060007.0,0.29,0.01
13,2023-05-22 10:40:00,10.25,10.26,10.26,10.25,0.0,0.0,1604,1644995.0,0.1,0.02
14,2023-05-22 10:45:00,10.26,10.24,10.26,10.24,-0.19,-0.02,1050,1076524.0,0.19,0.01
15,2023-05-22 10:50:00,10.24,10.24,10.25,10.23,0.0,0.0,1966,2012853.0,0.2,0.02
16,2023-05-22 10:55:00,10.24,10.23,10.24,10.22,-0.1,-0.01,1246,1274585.0,0.2,0.02
17,2023-05-22 11:00:00,10.24,10.24,10.24,10.22,0.1,0.01,1290,1319678.0,0.2,0.02
18,2023-05-22 11:05:00,10.23,10.23,10.23,10.22,-0.1,-0.01,1308,1337281.0,0.1,0.02
19,2023-05-22 11:10:00,10.23,10.22,10.24,10.22,-0.1,-0.01,761,778504.0,0.2,0.01
20,2023-05-22 11:15:00,10.23,10.23,10.23,10.22,0.1,0.01,872,891606.0,0.1,0.01
21,2023-05-22 11:20:00,10.23,10.23,10.23,10.22,0.0,0.0,973,994679.0,0.1,0.01
22,2023-05-22 11:25:00,10.23,10.22,10.24,10.22,-0.1,-0.01,1030,1054029.0,0.2,0.01
23,2023-05-22 11:30:00,10.23,10.24,10.24,10.22,0.2,0.02,528,539768.0,0.2,0.01
24,2023-05-22 13:05:00,10.24,10.22,10.24,10.22,-0.2,-0.02,996,1019460.0,0.2,0.01
25,2023-05-22 13:10:00,10.22,10.23,10.24,10.22,0.1,0.01,1181,1207565.0,0.2,0.01
26,2023-05-22 13:15:00,10.22,10.23,10.23,10.22,0.0,0.0,1016,1038728.0,0.1,0.01
27,2023-05-22 13:20:00,10.23,10.23,10.24,10.22,0.0,0.0,599,612809.0,0.2,0.01
28,2023-05-22 13:25:00,10.23,10.22,10.24,10.22,-0.1,-0.01,841,860106.0,0.2,0.01
29,2023-05-22 13:30:00,10.23,10.23,10.23,10.22,0.1,0.01,1388,1419409.0,0.1,0.02
30,2023-05-22 13:35:00,10.22,10.23,10.24,10.22,0.0,0.0,1718,1757479.0,0.2,0.02
31,2023-05-22 13:40:00,10.22,10.21,10.23,10.21,-0.2,-0.02,7421,7582673.0,0.2,0.09
32,2023-05-22 13:45:00,10.21,10.21,10.21,10.2,0.0,0.0,3127,3190220.0,0.1,0.04
33,2023-05-22 13:50:00,10.2,10.21,10.21,10.2,0.0,0.0,1043,1064170.0,0.1,0.01
34,2023-05-22 13:55:00,10.21,10.21,10.22,10.21,0.0,0.0,1212,1237859.0,0.1,0.01
35,2023-05-22 14:00:00,10.21,10.21,10.22,10.2,0.0,0.0,1575,1608394.0,0.2,0.02
36,2023-05-22 14:05:00,10.21,10.21,10.22,10.2,0.0,0.0,946,965974.0,0.2,0.01
37,2023-05-22 14:10:00,10.22,10.21,10.22,10.21,0.0,0.0,1864,1903437.0,0.1,0.02
38,2023-05-22 14:15:00,10.21,10.22,10.22,10.21,0.1,0.01,616,629104.0,0.1,0.01
39,2023-05-22 14:20:00,10.22,10.21,10.22,10.21,-0.1,-0.01,1768,1805422.0,0.1,0.02
40,2023-05-22 14:25:00,10.22,10.22,10.23,10.21,0.1,0.01,778,794964.0,0.2,0.01
41,2023-05-22 14:30:00,10.23,10.23,10.23,10.21,0.1,0.01,1466,1497972.0,0.2,0.02
42,2023-05-22 14:35:00,10.23,10.22,10.23,10.21,-0.1,-0.01,1357,1386939.0,0.2,0.02
43,2023-05-22 14:40:00,10.22,10.22,10.23,10.22,0.0,0.0,863,882148.0,0.1,0.01
44,2023-05-22 14:45:00,10.23,10.22,10.23,10.22,0.0,0.0,1601,1636789.0,0.1,0.02
45,2023-05-22 14:50:00,10.23,10.23,10.23,10.22,0.1,0.01,2055,2100632.0,0.1,0.03
