,时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
0,2023-05-22 09:35:00,4.96,4.94,4.96,4.93,-0.2,-0.01,11472,5670005.0,0.61,0.01
1,2023-05-22 09:40:00,4.94,4.94,4.94,4.93,0.0,0.0,2951,1456530.0,0.2,0.0
2,2023-05-22 09:45:00,4.94,4.93,4.94,4.93,-0.2,-0.01,3615,1784077.0,0.2,0.0
3,2023-05-22 09:50:00,4.93,4.93,4.94,4.93,0.0,0.0,1595,786621.0,0.2,0.0
4,2023-05-22 09:55:00,4.93,4.94,4.94,4.93,0.2,0.01,9625,4750401.0,0.2,0.01
5,2023-05-22 10:00:00,4.94,4.95,4.95,4.93,0.2,0.01,6340,3134153.0,0.4,0.01
6,2023-05-22 10:05:00,4.95,4.96,4.96,4.94,0.2,0.01,5001,2477313.0,0.4,0.0
7,2023-05-22 10:10:00,4.96,4.96,4.97,4.95,0.0,0.0,6830,3387057.0,0.4,0.01
8,2023-05-22 10:15:00,4.95,4.96,4.96,4.95,0.0,0.0,7345,3642279.0,0.2,0.01
9,2023-05-22 10:20:00,4.96,4.97,4.97,4.95,0.2,0.01,6603,3276880.0,0.4,0.01
10,2023-05-22 10:25:00,4.96,4.97,4.97,4.96,0.0,0.0,3541,1756776.0,0.2,0.0
11,2023-05-22 10:30:00,4.96,4.98,4.98,4.96,0.2,0.01,11745,5837869.0,0.4,0.01
12,2023-05-22 10:35:00,4.97,4.96,4.98,4.96,-0.4,-0.02,7184,3570563.0,0.4,0.01
13,2023-05-22 10:40:00,4.97,4.97,4.97,4.96,0.2,0.01,1794,890197.0,0.2,0.0
14,2023-05-22 10:45:00,4.97,4.97,4.97,4.96,0.0,0.0,13772,6837422.0,0.2,0.01
15,2023-05-22 10:50:00,4.97,4.95,4.98,4.95,-0.4,-0.02,4214,2090661.0,0.6,0.0
16,2023-05-22 10:55:00,4.96,4.97,4.97,4.95,0.4,0.02,1932,958699.0,0.4,0.0
17,2023-05-22 11:00:00,4.97,4.96,4.97,4.95,-0.2,-0.01,5908,2927675.0,0.4,0.01
18,2023-05-22 11:05:00,4.95,4.95,4.96,4.95,-0.2,-0.01,3698,1831083.0,0.2,0.0
19,2023-05-22 11:10:00,4.96,4.95,4.96,4.95,0.0,0.0,1994,987639.0,0.2,0.0
20,2023-05-22 11:15:00,4.95,4.95,4.96,4.95,0.0,0.0,4212,2085564.0,0.2,0.0
21,2023-05-22 11:20:00,4.96,4.94,4.96,4.94,-0.2,-0.01,4246,2100922.0,0.4,0.0
22,2023-05-22 11:25:00,4.94,4.95,4.95,4.94,0.2,0.01,1765,872267.0,0.2,0.0
23,2023-05-22 11:30:00,4.94,4.94,4.95,4.94,-0.2,-0.01,4816,2379949.0,0.2,0.0
24,2023-05-22 13:05:00,4.95,4.95,4.95,4.94,0.2,0.01,1408,696287.0,0.2,0.0
25,2023-05-22 13:10:00,4.94,4.96,4.96,4.94,0.2,0.01,3218,1592350.0,0.4,0.0
26,2023-05-22 13:15:00,4.96,4.95,4.96,4.94,-0.2,-0.01,1393,689524.0,0.4,0.0
27,2023-05-22 13:20:00,4.94,4.95,4.95,4.94,0.0,0.0,971,480319.0,0.2,0.0
28,2023-05-22 13:25:00,4.95,4.95,4.95,4.94,0.0,0.0,1218,602442.0,0.2,0.0
29,2023-05-22 13:30:00,4.95,4.96,4.96,4.95,0.2,0.01,2542,1259064.0,0.2,0.0
30,2023-05-22 13:35:00,4.96,4.94,4.96,4.94,-0.4,-0.02,3909,1934017.0,0.4,0.0
31,2023-05-22 13:40:00,4.94,4.94,4.95,4.94,0.0,0.0,3215,1588735.0,0.2,0.0
32,2023-05-22 13:45:00,4.95,4.94,4.95,4.94,0.0,0.0,2733,1350782.0,0.2,0.0
33,2023-05-22 13:50:00,4.95,4.95,4.95,4.94,0.2,0.01,2684,1326321.0,0.2,0.0
34,2023-05-22 13:55:00,4.95,4.95,4.95,4.94,0.0,0.0,3029,1497674.0,0.2,0.0
35,2023-05-22 14:00:00,4.94,4.95,4.95,4.94,0.0,0.0,2116,1046042.0,0.2,0.0
36,2023-05-22 14:05:00,4.94,4.95,4.96,4.94,0.0,0.0,3775,1868091.0,0.4,0.0
37,2023-05-22 14:10:00,4.95,4.95,4.96,4.95,0.0,0.0,852,421824.0,0.2,0.0
38,2023-05-22 14:15:00,4.95,4.96,4.96,4.95,0.2,0.01,404,200164.0,0.2,0.0
39,2023-05-22 14:20:00,4.96,4.96,4.96,4.95,0.0,0.0,936,463841.0,0.2,0.0
40,2023-05-22 14:25:00,4.95,4.96,4.96,4.95,0.0,0.0,815,403886.0,0.2,0.0
41,2023-05-22 14:30:00,4.96,4.96,4.96,4.95,0.0,0.0,1251,620057.0,0.2,0.0
42,2023-05-22 14:35:00,4.96,4.96,4.96,4.95,0.0,0.0,1050,520377.0,0.2,0.0
43,2023-05-22 14:40:00,4.96,4.96,4.96,4.95,0.0,0.0,4539,2250919.0,0.2,0.0
44,2023-05-22 14:45:00,4.96,4.95,4.96,4.95,-0.2,-0.01,1792,888153.0,0.2,0.0
45,2023-05-22 14:50:00,4.95,4.96,4.96,4.95,0.2,0.01,3181,1575605.0,0.2,0.0
46,2023-05-22 14:55:00,4.95,4.96,4.96,4.95,0.0,0.0,5207,2580273.0,0.2,0.0
47,2023-05-22 15:00:00,4.95,4.96,4.96,4.95,0.0,0.0,6024,2985031.0,0.2,0.01
48,2023-05-23 09:35:00,4.96,4.95,4.97,4.95,-0.2,-0.01,8327,4128506.0,0.4,0.01
49,2023-05-23 09:40:00,4.95,4.95,4.96,4.94,0.0,0.0,12315,6098165.0,0.4,0.01
50,2023-05-23 09:45:00,4.94,4.93,4.95,4.92,-0.4,-0.02,10509,5185156.0,0.61,0.01
51,2023-05-23 09:50:00,4.93,4.93,4.94,4.93,0.0,0.0,4524,2230700.0,0.2,0.0
52,2023-05-23 09:55:00,4.94,4.92,4.94,4.92,-0.2,-0.01,6344,3125776.0,0.41,0.01
53,2023-05-23 10:00:00,4.93,4.92,4.93,4.92,0.0,0.0,7609,3744854.0,0.2,0.01
54,2023-05-23 10:05:00,4.93,4.92,4.93,4.91,0.0,0.0,5659,2784560.0,0.41,0.01
55,2023-05-23 10:10:00,4.93,4.92,4.93,4.92,0.0,0.0,2437,1199861.0,0.2,0.0
56,2023-05-23 10:15:00,4.92,4.92,4.93,4.92,0.0,0.0,3135,1543204.0,0.2,0.0
57,2023-05-23 10:20:00,4.93,4.92,4.93,4.91,0.0,0.0,6978,3432503.0,0.41,0.01
58,2023-05-23 10:25:00,4.91,4.91,4.92,4.89,-0.2,-0.01,28658,14056055.0,0.61,0.03
59,2023-05-23 10:30:00,4.91,4.91,4.91,4.9,0.0,0.0,2729,1338741.0,0.2,0.0
60,2023-05-23 10:35:00,4.91,4.91,4.91,4.9,0.0,0.0,2608,1279416.0,0.2,0.0
61,2023-05-23 10:40:00,4.91,4.9,4.91,4.9,-0.2,-0.01,1770,868367.0,0.2,0.0
62,2023-05-23 10:45:00,4.91,4.91,4.91,4.9,0.2,0.01,1793,879426.0,0.2,0.0
63,2023-05-23 10:50:00,4.9,4.91,4.91,4.9,0.0,0.0,2707,1327081.0,0.2,0.0
64,2023-05-23 10:55:00,4.9,4.92,4.92,4.9,0.2,0.01,7997,3921883.0,0.41,0.01
65,2023-05-23 11:00:00,4.91,4.92,4.92,4.91,0.0,0.0,1937,952510.0,0.2,0.0
66,2023-05-23 11:05:00,4.92,4.91,4.92,4.9,-0.2,-0.01,3676,1804189.0,0.41,0.0
67,2023-05-23 11:10:00,4.9,4.92,4.92,4.9,0.2,0.01,4868,2386441.0,0.41,0.0
68,2023-05-23 11:15:00,4.91,4.9,4.92,4.9,-0.41,-0.02,1966,965743.0,0.41,0.0
69,2023-05-23 11:20:00,4.91,4.9,4.91,4.9,0.0,0.0,847,415469.0,0.2,0.0
70,2023-05-23 11:25:00,4.91,4.91,4.91,4.9,0.2,0.01,6716,3291685.0,0.2,0.01
71,2023-05-23 11:30:00,4.9,4.9,4.91,4.9,-0.2,-0.01,1724,845644.0,0.2,0.0
72,2023-05-23 13:05:00,4.91,4.9,4.91,4.9,0.0,0.0,5492,2692340.0,0.2,0.0
73,2023-05-23 13:10:00,4.9,4.91,4.91,4.89,0.2,0.01,2686,1316211.0,0.41,0.0
74,2023-05-23 13:15:00,4.91,4.9,4.91,4.9,-0.2,-0.01,978,479984.0,0.2,0.0
75,2023-05-23 13:20:00,4.9,4.9,4.91,4.9,0.0,0.0,894,438328.0,0.2,0.0
76,2023-05-23 13:25:00,4.9,4.9,4.91,4.9,0.0,0.0,1354,663898.0,0.2,0.0
77,2023-05-23 13:30:00,4.91,4.91,4.91,4.9,0.2,0.01,2295,1126260.0,0.2,0.0
78,2023-05-23 13:35:00,4.9,4.9,4.92,4.9,-0.2,-0.01,1995,979316.0,0.41,0.0
79,2023-05-23 13:40:00,4.9,4.91,4.91,4.9,0.2,0.01,780,382483.0,0.2,0.0
80,2023-05-23 13:45:00,4.9,4.9,4.91,4.9,-0.2,-0.01,3213,1574842.0,0.2,0.0
81,2023-05-23 13:50:00,4.91,4.91,4.91,4.9,0.2,0.01,4084,2001616.0,0.2,0.0
82,2023-05-23 13:55:00,4.9,4.9,4.91,4.9,-0.2,-0.01,3194,1566034.0,0.2,0.0
83,2023-05-23 14:00:00,4.91,4.9,4.91,4.89,0.0,0.0,4919,2408641.0,0.41,0.0
84,2023-05-23 14:05:00,4.9,4.91,4.91,4.89,0.2,0.01,2483,1215852.0,0.41,0.0
85,2023-05-23 14:10:00,4.9,4.9,4.91,4.9,-0.2,-0.01,796,390433.0,0.2,0.0
86,2023-05-23 14:15:00,4.91,4.9,4.91,4.9,0.0,0.0,1263,619143.0,0.2,0.0
87,2023-05-23 14:20:00,4.91,4.89,4.91,4.89,-0.2,-0.01,4298,2104482.0,0.41,0.0
88,2023-05-23 14:25:00,4.9,4.9,4.9,4.89,0.2,0.01,2526,1235773.0,0.2,0.0
89,2023-05-23 14:30:00,4.9,4.89,4.9,4.89,-0.2,-0.01,3339,1633959.0,0.2,0.0
90,2023-05-23 14:35:00,4.89,4.89,4.9,4.88,0.0,0.0,15330,7494146.0,0.41,0.01
91,2023-05-23 14:40:00,4.89,4.88,4.89,4.88,-0.2,-0.01,3783,1848365.0,0.2,0.0
92,2023-05-23 14:45:00,4.89,4.89,4.9,4.88,0.2,0.01,4739,2316969.0,0.41,0.0
93,2023-05-23 14:50:00,4.89,4.89,4.9,4.88,0.0,0.0,5324,2602488.0,0.41,0.0
94,2023-05-23 14:55:00,4.89,4.88,4.89,4.88,-0.2,-0.01,3769,1841776.0,0.2,0.0
95,2023-05-23 15:00:00,4.88,4.88,4.9,4.88,0.0,0.0,7111,3474654.0,0.41,0.01
96,2023-05-24 09:35:00,4.87,4.83,4.88,4.82,-1.02,-0.05,24545,11877851.0,1.23,0.02
97,2023-05-24 09:40:00,4.83,4.82,4.83,4.8,-0.21,-0.01,28650,13781893.0,0.62,0.03
98,2023-05-24 09:45:00,4.82,4.82,4.83,4.81,0.0,0.0,10589,5104614.0,0.41,0.01
99,2023-05-24 09:50:00,4.82,4.8,4.82,4.8,-0.41,-0.02,13443,6467378.0,0.41,0.01
100,2023-05-24 09:55:00,4.81,4.81,4.82,4.8,0.21,0.01,7543,3625805.0,0.42,0.01
101,2023-05-24 10:00:00,4.81,4.8,4.81,4.8,-0.21,-0.01,5955,2860779.0,0.21,0.01
102,2023-05-24 10:05:00,4.81,4.8,4.81,4.77,0.0,0.0,29277,14025926.0,0.83,0.03
103,2023-05-24 10:10:00,4.79,4.8,4.81,4.78,0.0,0.0,8191,3926136.0,0.63,0.01
104,2023-05-24 10:15:00,4.79,4.78,4.8,4.78,-0.42,-0.02,7394,3537100.0,0.42,0.01
105,2023-05-24 10:20:00,4.79,4.78,4.79,4.78,0.0,0.0,3819,1828442.0,0.21,0.0
106,2023-05-24 10:25:00,4.78,4.78,4.79,4.76,0.0,0.0,16343,7804317.0,0.63,0.01
107,2023-05-24 10:30:00,4.77,4.77,4.78,4.76,-0.21,-0.01,8899,4242910.0,0.42,0.01
108,2023-05-24 10:35:00,4.77,4.78,4.79,4.77,0.21,0.01,3375,1612769.0,0.42,0.0
109,2023-05-24 10:40:00,4.79,4.78,4.8,4.78,0.0,0.0,3112,1489718.0,0.42,0.0
110,2023-05-24 10:45:00,4.79,4.79,4.79,4.78,0.21,0.01,1694,810499.0,0.21,0.0
111,2023-05-24 10:50:00,4.79,4.78,4.79,4.78,-0.21,-0.01,1992,953249.0,0.21,0.0
112,2023-05-24 10:55:00,4.79,4.79,4.8,4.78,0.21,0.01,5167,2474514.0,0.42,0.0
113,2023-05-24 11:00:00,4.78,4.79,4.8,4.78,0.0,0.0,3986,1908778.0,0.42,0.0
114,2023-05-24 11:05:00,4.79,4.78,4.8,4.78,-0.21,-0.01,2990,1431916.0,0.42,0.0
115,2023-05-24 11:10:00,4.8,4.8,4.8,4.78,0.42,0.02,2551,1222687.0,0.42,0.0
116,2023-05-24 11:15:00,4.8,4.79,4.8,4.79,-0.21,-0.01,2761,1324457.0,0.21,0.0
117,2023-05-24 11:20:00,4.8,4.78,4.8,4.78,-0.21,-0.01,6315,3025079.0,0.42,0.01
118,2023-05-24 11:25:00,4.79,4.78,4.79,4.78,0.0,0.0,1066,510047.0,0.21,0.0
119,2023-05-24 11:30:00,4.78,4.79,4.79,4.78,0.21,0.01,1731,828512.0,0.21,0.0
120,2023-05-24 13:05:00,4.79,4.79,4.8,4.79,0.0,0.0,6615,3169244.0,0.21,0.01
